,0
Month,638.5966950658317
Year,366.7724578480479
Fuel_Price,181.99703459272075
Unemployment,177.11252693282532
Week,114.17811895812596
Dept,111.38351034047047
Store,87.39601623175028
CPI,20.702129089946986
Temperature,19.241696463899146
MarkDown3,0.10839401020354189
